,Incident No.,View,Unit,Zone,Function,Category,Incident Nature,Incident Type,Description,Incident Date,Reporting Date,Status,Debit Note Status
8195,8195,FAR,PCG,,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2016-10-13 00:00:00,2016-10-13,Not Approved,
8196,8196,FAR,DTA,A-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2016-10-13 00:00:00,2016-10-13,Not Approved,
8197,8197,FAR,PCG,,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2016-10-13 00:00:00,2016-10-13,Not Approved,
8198,8198,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2016-10-13 00:00:00,2016-10-13,Approved By Site Head,
8199,8199,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-10-13 00:00:00,2016-10-13,Approved By Zone IC,
8200,8200,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-10-13 00:00:00,2016-10-13,Approved By Zone IC,
8201,8201,FAR,PCG,SEZ PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,13-OCT-2016,2016-10-13,Approved By Zone IC,
8202,8202,FAR,PCG,SEZ PCG,Physical Security,Others,IR issue,,,2016-10-13 00:00:00,2016-10-13,Approved By Zone IC,
8203,8203,FAR,PCG,,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2016-10-13 00:00:00,2016-10-13,Not Approved,
8204,8204,FAR,PCG,,Physical Security,Others,IR issue,,,2016-10-12 00:00:00,2016-10-12,Not Approved,
8205,8205,FAR,SEZ,Z-RTF,Traffic,Traffic incident,Damaging property,,,2016-10-12 00:00:00,2016-10-12,Approved By Site Head,
8206,8206,FAR,SEZ,Material Zone,Traffic,Traffic incident,Near miss,,,2016-10-12 00:00:00,2016-10-12,Approved By Site Head,
8207,8207,FAR,PCG,,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2016-10-12 00:00:00,2016-10-12,Not Approved,
8208,8208,FAR,PCG,DTA PCG,Physical Security,Others,IR issue,,,2016-10-12 00:00:00,2016-10-12,Approved By Zone IC,
8209,8209,FAR,PCG,,Physical Security,Security,Bomb threat,Suspected object,Bomb threatSuspected object,2016-10-12 00:00:00,2016-10-12,Not Approved,
8210,8210,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-12 00:00:00,2016-10-12,Not Approved,
8211,8211,FAR,PCG,,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2016-10-11 00:00:00,2016-10-11,Not Approved,
8212,8212,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-10-11 00:00:00,2016-10-11,Not Approved,
8213,8213,FAR,PCG,,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2016-10-11 00:00:00,2016-10-11,Not Approved,
8214,8214,FAR,SEZ,D Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-10-11 00:00:00,2016-10-11,Approved By Site Head,
8215,8215,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-10-10 00:00:00,2016-10-10,Not Approved,
8216,8216,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-10 00:00:00,2016-10-10,Not Approved,
8217,8217,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-10 00:00:00,2016-10-10,Not Approved,
8218,8218,FAR,Off Site,Off Site,Physical Security,Others,IR issue,Others,IR issueOthers,2016-10-10 00:00:00,2016-10-10,Not Approved,
8219,8219,FAR,PCG,SEZ PCG,Physical Security,Others,IR issue,Others,IR issueOthers,2016-10-10 00:00:00,2016-10-10,Approved By Zone IC,
8220,8220,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-10 00:00:00,2016-10-10,Approved By Zone IC,
8221,8221,FAR,Off Site,Off Site,Physical Security,Others,IR issue,Others,IR issueOthers,2016-10-10 00:00:00,2016-10-10,Not Approved,
8222,8222,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-10 00:00:00,2016-10-10,Not Approved,
8223,8223,FAR,PCG,SEZ PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-10-09 00:00:00,2016-10-09,Approved By Zone IC,
8224,8224,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,09-OCT-2016,2016-10-09,Approved By Zone IC,
8225,8225,FAR,DTA,A-Zone,Physical Security,Security,Mock Drill,Security Mock Drill - Level 2,Mock DrillSecurity Mock Drill - Level 2,2016-10-08 00:00:00,2016-10-08,Not Approved,
8226,8226,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-08 00:00:00,2016-10-08,Approved By Zone IC,
8227,8227,FAR,SEZ,D Zone,Physical Security,Others,IR issue,,,2016-10-08 00:00:00,2016-10-08,Approved By Site Head,
8228,8228,FAR,PCG,,Physical Security,Others,Worksite accidents,LTC,Worksite accidentsLTC,2016-10-07 00:00:00,2016-10-07,Not Approved,
8229,8229,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-10-07 00:00:00,2016-10-07,Not Approved,
8230,8230,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-07 00:00:00,2016-10-07,Not Approved,
8231,8231,FAR,PCG,,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2016-10-07 00:00:00,2016-10-07,Not Approved,
8232,8232,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-07 00:00:00,2016-10-07,Approved By Zone IC,
8233,8233,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,07-OCT-2016,2016-10-07,Not Approved,
8234,8234,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-06 00:00:00,2016-10-07,Not Approved,
8235,8235,FAR,SEZ,D Zone,Traffic,Traffic incident,Damaging property,,,2016-10-06 00:00:00,2016-10-06,Approved By Site Head,
8236,8236,FAR,PCG,,Traffic,Traffic incident,Damaging property,,,2016-10-05 00:00:00,2016-10-05,Not Approved,
8237,8237,FAR,SEZ,D Zone,Physical Security,Others,IR issue,,,2016-10-05 00:00:00,2016-10-05,Approved By Site Head,
8238,8238,FAR,MTF,MTF ISBL,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 2,Mock DrillPlant Mock Drill - Level 2,2016-10-05 00:00:00,2016-10-05,Approved By Site Head,
8239,8239,FAR,PCG,,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2016-10-04 00:00:00,2016-10-04,Not Approved,
8240,8240,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-10-04 00:00:00,2016-10-04,Not Approved,
8241,8241,FAR,Off Site,Off Site,Traffic,Traffic incident,Damaging property,,,2016-10-04 00:00:00,2016-10-04,Not Approved,
8242,8242,FAR,PCG,,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-10-03 00:00:00,2016-10-03,Not Approved,
8243,8243,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-03 00:00:00,2016-10-03,Not Approved,
8244,8244,FAR,PCG,SEZ PCG,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2016-10-03 00:00:00,2016-10-03,Approved By Zone IC,
8245,8245,FAR,DTA,A-Zone,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-03 00:00:00,2016-10-03,Not Approved,
8246,8246,FAR,DTA,B-Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2016-10-03 00:00:00,2016-10-03,Not Approved,
8247,8247,FAR,SEZ,D Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-10-03 00:00:00,2016-10-03,Approved By Site Head,
8248,8248,FAR,MTF,Off Shore,Physical Security,Others,IR issue,,,2016-10-03 00:00:00,2016-10-03,Approved By Site Head,
8249,8249,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,LTC,Worksite accidentsLTC,2016-10-03 00:00:00,2016-10-03,Approved By Zone IC,
8250,8250,FAR,PCG,DTA PCG,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2016-10-02 00:00:00,2016-10-02,Approved By Zone IC,
8251,8251,FAR,PCG,,Traffic,Traffic violation,Driving w/o seat belt,,,2016-10-01 00:00:00,2016-10-01,Not Approved,
8252,8252,FAR,PCG,SEZ PCG,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2016-10-01 00:00:00,2016-10-01,Approved By Zone IC,
8253,8253,FAR,PCG,,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-10-01 00:00:00,2016-10-01,Not Approved,
8254,8254,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-10-01 00:00:00,2016-10-01,Not Approved,
8255,8255,FAR,PCG,DTA PCG,Physical Security,Security,Impersonation,Forged EP,ImpersonationForged EP,2016-09-30 00:00:00,2016-09-30,Approved By Zone IC,
8256,8256,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-30 00:00:00,2016-09-30,Approved By Site Head,
8257,8257,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-30 00:00:00,2016-10-01,Not Approved,
8258,8258,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-30 00:00:00,2016-10-01,Not Approved,
8259,8259,FAR,PCG,DTA PCG,Traffic,Traffic incident,Near miss,,,2016-09-29 00:00:00,2016-09-29,Approved By Zone IC,
8260,8260,FAR,SEZ,D Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-09-29 00:00:00,2016-09-29,Approved By Site Head,
8261,8261,FAR,PCG,,Traffic,Traffic incident,Near miss,,,2016-09-29 00:00:00,2016-09-29,Not Approved,
8262,8262,FAR,PCG,,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2016-09-29 00:00:00,2016-09-29,Not Approved,
8263,8263,FAR,SEZ,D Zone,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2016-09-29 00:00:00,2016-09-29,Approved By Site Head,
8264,8264,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-28 00:00:00,2016-09-28,Not Approved,
8265,8265,FAR,PCG,DTA PCG,Physical Security,Others,IR issue,,,2016-09-28 00:00:00,2016-09-28,Approved By Zone IC,
8266,8266,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-28 00:00:00,2016-09-28,Not Approved,
8267,8267,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2016-09-28 00:00:00,2016-09-28,Approved By Site Head,
8268,8268,FAR,PCG,,Physical Security,Others,Natural death,Contract worker,Natural deathContract worker,2016-09-28 00:00:00,2016-09-28,Not Approved,
8269,8269,FAR,PCG,SEZ PCG,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-28 00:00:00,2016-09-28,Approved By Zone IC,
8270,8270,FAR,PCG,,Physical Security,Security,Theft,Reported,TheftReported,2016-09-28 00:00:00,2016-09-28,Not Approved,
8271,8271,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-28 00:00:00,2016-09-29,Not Approved,
8272,8272,FAR,PCG,SEZ PCG,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-28 00:00:00,2016-09-28,Approved By Zone IC,
8273,8273,FAR,PCG,,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-09-27 00:00:00,2016-09-27,Not Approved,
8274,8274,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-27 00:00:00,2016-09-27,Approved By Site Head,
8275,8275,FAR,PCG,,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-27 00:00:00,2016-09-27,Not Approved,
8276,8276,FAR,Off Site,Off Site,Physical Security,Others,Worksite accidents,Injury (Unclassified),Worksite accidentsInjury (Unclassified),2016-09-26 00:00:00,2016-09-26,Not Approved,
8277,8277,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-26 00:00:00,2016-09-26,Not Approved,
8278,8278,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-26 00:00:00,2016-09-26,Not Approved,
8279,8279,FAR,Off Site,Off Site,Physical Security,Others,IR issue,Others,IR issueOthers,2016-09-26 00:00:00,2016-09-26,Not Approved,
8280,8280,FAR,DTA,A-Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2016-09-26 00:00:00,2016-09-26,Not Approved,
8281,8281,FAR,Off Site,Off Site,Physical Security,Others,IR issue,Others,IR issueOthers,2016-09-26 00:00:00,2016-09-26,Not Approved,
8282,8282,FAR,DTA,B-Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-25 00:00:00,2016-09-25,Not Approved,
8283,8283,FAR,MTF,Haul Road,Traffic,Traffic incident,Damaging property,,,2016-09-25 00:00:00,2016-09-25,Approved By Site Head,
8284,8284,FAR,MTF,MTF ISBL,Physical Security,Security,Mock Drill,Security Mock Drill - Level 2,Mock DrillSecurity Mock Drill - Level 2,2016-09-24 00:00:00,2016-09-24,Approved By Site Head,
8285,8285,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-24 00:00:00,2016-09-24,Not Approved,
8286,8286,FAR,DTA,A-Zone,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2016-09-24 00:00:00,2016-09-24,Not Approved,
8287,8287,FAR,PCG,,Physical Security,Others,IR issue,Others,IR issueOthers,2016-09-23 00:00:00,2016-09-23,Not Approved,
8288,8288,FAR,DTA,C-Zone,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2016-09-23 00:00:00,2016-09-23,Approved By Site Head,
8289,8289,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-23 00:00:00,2016-09-23,Approved By Zone IC,
8290,8290,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-23 00:00:00,2016-09-23,Approved By Zone IC,
8291,8291,FAR,MTF,MTF OSBL,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2016-09-23 00:00:00,2016-09-23,Approved By Site Head,
8292,8292,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2016-09-23 00:00:00,2016-09-23,Approved By Site Head,
8293,8293,FAR,SEZ,D Zone,Physical Security,Security,Access control related,Invalid EP,Access control relatedInvalid EP,2016-09-23 00:00:00,2016-09-23,Approved By Site Head,
8294,8294,FAR,PCG,DTA PCG,Traffic,Traffic incident,Near miss,,,2016-09-23 00:00:00,2016-09-23,Approved By Zone IC,
8295,8295,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-22 00:00:00,2016-09-22,Not Approved,
8296,8296,FAR,SEZ,Material Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2016-09-22 00:00:00,2016-09-22,Approved By Site Head,
8297,8297,FAR,PCG,,Physical Security,Others,IR issue,Others,IR issueOthers,2016-09-22 00:00:00,2016-09-22,Not Approved,
8298,8298,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-22 00:00:00,2016-09-22,Approved By Zone IC,
8299,8299,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-22 00:00:00,2016-09-22,Approved By Zone IC,
8300,8300,FAR,DTA,B-Zone,Physical Security,Security,Theft,Reported,TheftReported,2016-09-22 00:00:00,2016-09-22,Not Approved,
8301,8301,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-22 00:00:00,2016-09-22,Not Approved,
8302,8302,FAR,PCG,,Physical Security,Security,Theft,Reported,TheftReported,2016-09-21 00:00:00,2016-09-21,Not Approved,
8303,8303,FAR,PCG,,Physical Security,Others,Worksite accidents,LTC,Worksite accidentsLTC,2016-09-21 00:00:00,2016-09-22,Not Approved,
8304,8304,FAR,MTF,Haul Road,Physical Security,Safety violation,Smoking,,,2016-09-21 00:00:00,2016-09-21,Approved By Site Head,
8305,8305,FAR,DTA,C-Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-09-21 00:00:00,2016-09-21,Approved By Site Head,
8306,8306,FAR,DTA,C-Zone,Physical Security,Security,Special Observations / Night Round,Night Round by Management Reps,Special Observations / Night RoundNight Round by Management Reps,2016-09-21 00:00:00,2016-09-21,Approved By Site Head,
8307,8307,FAR,Off Site,Off Site,Traffic,Traffic incident,LTC,,,2016-09-20 00:00:00,2016-09-20,Not Approved,
8308,8308,FAR,PCG,,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2016-09-20 00:00:00,2016-09-20,Not Approved,
8309,8309,FAR,SEZ,D Zone,Traffic,Traffic violation,Wrong side overtaking,,,2016-09-20 00:00:00,2016-09-20,Approved By Site Head,
8310,8310,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Leakage / Spillage,Emergency responseLeakage / Spillage,2016-09-20 00:00:00,2016-09-20,Approved By Site Head,
8311,8311,FAR,SEZ,D Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-09-19 00:00:00,2016-09-19,Approved By Site Head,
8312,8312,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-18 00:00:00,2016-09-18,Approved By Site Head,
8313,8313,FAR,PCG,SEZ PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-18 00:00:00,2016-09-18,Approved By Zone IC,
8314,8314,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,LTC,Worksite accidentsLTC,2016-09-18 00:00:00,2016-09-18,Approved By Site Head,
8315,8315,FAR,PCG,,Physical Security,Others,IR issue,Others,IR issueOthers,2016-09-17 00:00:00,2016-09-17,Not Approved,
8316,8316,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-17 00:00:00,2016-09-17,Not Approved,
8317,8317,FAR,SEZ,Material Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-09-16 00:00:00,2016-09-16,Approved By Site Head,
8318,8318,FAR,DTA,C-Zone,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2016-09-16 00:00:00,2016-09-16,Approved By Site Head,
8319,8319,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2016-09-16 00:00:00,2016-09-16,Approved By Site Head,
8320,8320,FAR,PCG,,Physical Security,Safety violation,Prohibited Material,,,2016-09-16 00:00:00,2016-09-16,Not Approved,
8321,8321,FAR,SEZ,D Zone,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2016-09-16 00:00:00,2016-09-16,Approved By Site Head,
8322,8322,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-16 00:00:00,2016-09-16,Approved By Site Head,
8323,8323,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-16 00:00:00,2016-09-16,Approved By Site Head,
8324,8324,FAR,PCG,,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-15 00:00:00,2016-09-15,Not Approved,
8325,8325,FAR,PCG,,Physical Security,Security,Theft,Reported,TheftReported,2016-09-15 00:00:00,2016-09-15,Not Approved,
8326,8326,FAR,SEZ,Material Zone,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-15 00:00:00,2016-09-15,Approved By Site Head,
8327,8327,FAR,Off Site,Off Site,Physical Security,Others,IR issue,Others,IR issueOthers,2016-09-15 00:00:00,2016-09-15,Not Approved,
8328,8328,FAR,PCG,,Physical Security,Others,Worksite accidents,Injury (Unclassified),Worksite accidentsInjury (Unclassified),2016-09-15 00:00:00,2016-09-15,Not Approved,
8329,8329,FAR,PCG,,Physical Security,Security,Theft,Reported,TheftReported,2016-09-15 00:00:00,2016-09-15,Not Approved,
8330,8330,FAR,PCG,,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2016-09-15 00:00:00,2016-09-15,Not Approved,
8331,8331,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-14 00:00:00,2016-09-15,Approved By Zone IC,
8332,8332,FAR,PCG,,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-14 00:00:00,2016-09-14,Not Approved,
8333,8333,FAR,PCG,,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-14 00:00:00,2016-09-14,Not Approved,
8334,8334,FAR,SEZ,Material Zone,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2016-09-14 00:00:00,2016-09-14,Approved By Site Head,
8335,8335,FAR,PCG,,Physical Security,Security,Mock Drill,Security Mock Drill - Level 1,Mock DrillSecurity Mock Drill - Level 1,2016-09-14 00:00:00,2016-09-14,Not Approved,
8336,8336,FAR,DTA,B-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2016-09-14 00:00:00,2016-09-14,Not Approved,
8337,8337,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-13 00:00:00,2016-09-13,Approved By Site Head,
8338,8338,FAR,PCG,DTA PCG,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2016-09-13 00:00:00,2016-09-13,Approved By Zone IC,
8339,8339,FAR,SEZ,D Zone,Physical Security,Others,IR issue,Others,IR issueOthers,2016-09-13 00:00:00,2016-09-13,Approved By Site Head,
8340,8340,FAR,DTA,C-Zone,Automation,Security,Damage to company property,Card reader,Damage to company propertyCard reader,2016-09-13 00:00:00,2016-09-13,Approved By Site Head,
8341,8341,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-12 00:00:00,2016-09-12,Not Approved,
8342,8342,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-12 00:00:00,2016-09-12,Not Approved,
8343,8343,FAR,PCG,DTA PCG,Physical Security,Others,Emergency response,Leakage / Spillage,Emergency responseLeakage / Spillage,2016-09-12 00:00:00,2016-09-12,Approved By Zone IC,
8344,8344,FAR,PCG,,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-09-12 00:00:00,2016-09-12,Not Approved,
8345,8345,FAR,SEZ,D Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2016-09-12 00:00:00,2016-09-12,Approved By Site Head,
8346,8346,FAR,DTA,A-Zone,Traffic,Traffic incident,Damaging property,,,2016-09-12 00:00:00,2016-09-12,Not Approved,
8347,8347,FAR,PCG,,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-12 00:00:00,2016-09-12,Not Approved,
8348,8348,FAR,Off Site,Off Site,Traffic,Traffic incident,Damaging property,,,2016-09-11 00:00:00,2016-09-11,Not Approved,
8349,8349,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2016-09-11 00:00:00,2016-09-11,Approved By Zone IC,
8350,8350,FAR,PCG,,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2016-09-11 00:00:00,2016-09-11,Not Approved,
8351,8351,FAR,DTA,C-Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2016-09-11 00:00:00,2016-09-11,Approved By Site Head,
8352,8352,FAR,PCG,,Physical Security,Security,Theft,Reported,TheftReported,2016-09-10 00:00:00,2016-09-10,Not Approved,
8353,8353,FAR,PCG,SEZ PCG,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-10 00:00:00,2016-09-10,Approved By Zone IC,
8354,8354,FAR,SEZ,D Zone,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2016-09-09 00:00:00,2016-09-09,Approved By Site Head,
8355,8355,FAR,MTF,MTF ISBL,Physical Security,Security,PR issue,Land related,PR issueLand related,2016-09-09 00:00:00,2016-09-09,Approved By Site Head,
8356,8356,FAR,PCG,,Physical Security,Security,Theft,Attempt,TheftAttempt,2016-09-09 00:00:00,2016-09-09,Not Approved,
8357,8357,FAR,PCG,DTA PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-09 00:00:00,2016-09-09,Approved By Zone IC,
8358,8358,FAR,DTA,A-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2016-09-09 00:00:00,2016-09-09,Not Approved,
8359,8359,FAR,SEZ,Material Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2016-09-09 00:00:00,2016-09-09,Approved By Site Head,
8360,8360,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,LTC,Worksite accidentsLTC,2016-09-09 00:00:00,2016-09-09,Approved By Site Head,
8361,8361,FAR,MTF,MTF OSBL,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2016-09-08 00:00:00,2016-09-08,Approved By Site Head,
8362,8362,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-08 00:00:00,2016-09-08,Not Approved,
8363,8363,FAR,DTA,C-Zone,Physical Security,Security,Impersonation,Forged EP,ImpersonationForged EP,2016-09-08 00:00:00,2016-09-08,Approved By Site Head,
8364,8364,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-08 00:00:00,2016-09-08,Approved By Site Head,
8365,8365,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-08 00:00:00,2016-09-08,Approved By Site Head,
8366,8366,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2016-09-08 00:00:00,2016-09-08,Approved By Site Head,
8367,8367,FAR,PCG,SEZ PCG,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-08 00:00:00,2016-09-08,Approved By Zone IC,
8368,8368,FAR,PCG,,Physical Security,Others,Worksite accidents,FAC,Worksite accidentsFAC,2016-09-08 00:00:00,2016-09-08,Not Approved,
